🛰️央视直播,#genre#
CCTV-1综合,http://27.40.16.70:8114/GD_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=F8UQ%2BEevMmd%2FnekE5YOOKkjJ6yQpJZ9CGFM9sHS3VdiLvaf2eXKnEWpoNjJ53rwe&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.33&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4233&gAppVersionName=4.2.33&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1715183611097&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=1&gCityCode=DEFAULT&verType=0&Fsv_Tgid=517e65f76ef0fc78&FvSeid=77fd5578ee7feea2&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=4276&Fsv_chan_hls_se_idx=60&Fsv_TBt=8466552&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-1-CQ&Fsv_CMSID=GD_CUCC
CCTV-1综合,https://event.pull.hebtv.com/jishi/cp3.m3u8
CCTV-1综合,http://wg.mxmy.net:8888/rtp/239.3.1.129:8008
CCTV-1综合,http://nas.hssvm.com:8888/udp/225.1.1.120:5002
CCTV-1综合,http://222.137.229.154:808/hls/1/index.m3u8
CCTV-1综合,http://171.8.245.118:808/hls/1/index.m3u8
CCTV-1综合,http://171.8.244.248:808/hls/1/index.m3u8
CCTV-1综合,http://118.122.2.29:9999/hls/1/index.m3u8
CCTV-1综合,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV-1综合,http://115.60.241.249:2000/rtp/225.1.4.73:1102
CCTV-2财经,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-3综艺,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel3/1300.m3u8
CCTV-3综艺,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel3/2300.m3u8
CCTV-4中文国际,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-4中文国际,http://59.44.102.18:8888/newlive/live/hls/5/live.m3u8
CCTV-4中文国际,http://58.216.99.148:80/live2.rxip.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV-4中文国际,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
CCTV-4中文国际,https://epg.pw/stream/5ea26961bbc8690cbd372a194e8801249644123feab6354e1f2cdd2b8a0026ca.m3u8
CCTV-4中文国际,http://xyt.186738613.xyz/lngd.php?id=063&Cf.m3u8
CCTV-4中文国际,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS
CCTV-4中文国际,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000298/index.m3u8?IAS
CCTV-4中文国际,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000037BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV-4中文国际,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-4中文国际,http://58.248.112.205:8006/GD_CUCC/G_CCTV-4-CQ.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBRab8%2B23dyjcWftcVGhPU%2BNGwbxMCOQz1LvVoHJF7Vi%2F
CCTV-4中文国际,http://218.13.170.98:9901/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://183.184.63.224:8085/rtp/226.0.2.21:8080
CCTV-5体育,http://59.44.102.18:8888/newlive/live/hls/6/live.m3u8
CCTV-5体育,http://58.216.99.148:80/live2.rxip.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV-5体育,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8
CCTV-5体育,http://222.244.147.16:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://220.180.229.250:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://fangke.blueswords.com:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://fxgm.fxjf.work:19901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://ynxsj.7766.org:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5体育高清,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8
CCTV-5体育高清,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8
